Date,Open,High,Low,Close,Volume
01/03/2023,"174.27","175.83","173.65","175.28","2,206,482"
12/30/2022,"174.26","174.85","171.89","173.84","1,670,881"
12/29/2022,"174.79","176.41","174.42","175.75","1,369,351"
12/28/2022,"177.00","177.47","173.37","173.61","1,455,898"
12/27/2022,"177.09","177.82","175.62","176.93","1,294,218"
12/23/2022,"175.92","177.19","174.16","177.01","1,897,662"
12/22/2022,"174.80","175.66","172.72","175.61","2,626,811"
12/21/2022,"176.35","176.97","174.28","176.68","2,833,113"
12/20/2022,"177.33","177.57","173.47","173.63","3,062,157"
12/19/2022,"178.01","179.96","176.56","178.43","3,690,251"
12/16/2022,"180.36","181.89","177.62","178.20","8,241,369"
12/15/2022,"181.50","182.30","179.41","181.21","3,478,292"
12/14/2022,"183.41","187.25","182.80","184.31","3,188,928"
12/13/2022,"187.99","188.59","181.93","183.85","3,863,879"
12/12/2022,"178.68","183.32","178.02","182.53","3,214,511"
12/09/2022,"179.26","180.14","177.37","177.64","3,487,165"
12/08/2022,"175.13","180.55","174.85","179.63","3,109,657"
12/07/2022,"174.40","177.05","173.99","174.67","5,124,302"
12/06/2022,"179.02","179.49","173.88","175.10","5,598,203"
12/05/2022,"188.05","188.09","180.59","181.16","5,004,804"
12/02/2022,"187.29","190.46","186.59","189.39","3,661,709"
12/01/2022,"189.58","191.60","188.39","190.19","3,934,710"
11/30/2022,"184.75","189.73","183.93","189.73","7,146,860"
11/29/2022,"183.99","185.19","182.25","184.89","3,671,448"
